X;Y;Conditioning Set;(Conditional) Independence Holds
x0;x1;[];FALSE
x0;x1;[x2, x3, x4];FALSE
x0;x1;[x2, x3];FALSE
x0;x1;[x2, x4];FALSE
x0;x1;[x2];FALSE
x0;x1;[x3, x4];FALSE
x0;x1;[x3];FALSE
x0;x1;[x4];FALSE
x0;x2;[];FALSE
x0;x2;[x1, x3, x4];TRUE
x0;x2;[x1, x3];TRUE
x0;x2;[x1, x4];TRUE
x0;x2;[x1];TRUE
x0;x2;[x3, x4];FALSE
x0;x2;[x3];FALSE
x0;x2;[x4];FALSE
x0;x3;[];FALSE
x0;x3;[x1, x2, x4];TRUE
x0;x3;[x1, x2];TRUE
x0;x3;[x1, x4];TRUE
x0;x3;[x1];TRUE
x0;x3;[x2, x4];TRUE
x0;x3;[x2];FALSE
x0;x3;[x4];FALSE
x0;x4;[];TRUE
x0;x4;[x1, x2, x3];TRUE
x0;x4;[x1, x2];TRUE
x0;x4;[x1, x3];TRUE
x0;x4;[x1];TRUE
x0;x4;[x2, x3];FALSE
x0;x4;[x2];FALSE
x0;x4;[x3];FALSE
x1;x2;[];FALSE
x1;x2;[x0, x3, x4];FALSE
x1;x2;[x0, x3];FALSE
x1;x2;[x0, x4];FALSE
x1;x2;[x0];FALSE
x1;x2;[x3, x4];FALSE
x1;x2;[x3];FALSE
x1;x2;[x4];FALSE
x1;x3;[];FALSE
x1;x3;[x0, x2, x4];TRUE
x1;x3;[x0, x2];FALSE
x1;x3;[x0, x4];FALSE
x1;x3;[x0];FALSE
x1;x3;[x2, x4];TRUE
x1;x3;[x2];FALSE
x1;x3;[x4];FALSE
x1;x4;[];TRUE
x1;x4;[x0, x2, x3];FALSE
x1;x4;[x0, x2];FALSE
x1;x4;[x0, x3];FALSE
x1;x4;[x0];TRUE
x1;x4;[x2, x3];FALSE
x1;x4;[x2];FALSE
x1;x4;[x3];FALSE
x2;x3;[];FALSE
x2;x3;[x0, x1, x4];FALSE
x2;x3;[x0, x1];FALSE
x2;x3;[x0, x4];FALSE
x2;x3;[x0];FALSE
x2;x3;[x1, x4];FALSE
x2;x3;[x1];FALSE
x2;x3;[x4];FALSE
x2;x4;[];FALSE
x2;x4;[x0, x1, x3];FALSE
x2;x4;[x0, x1];FALSE
x2;x4;[x0, x3];FALSE
x2;x4;[x0];FALSE
x2;x4;[x1, x3];FALSE
x2;x4;[x1];FALSE
x2;x4;[x3];FALSE
x3;x4;[];FALSE
x3;x4;[x0, x1, x2];FALSE
x3;x4;[x0, x1];FALSE
x3;x4;[x0, x2];FALSE
x3;x4;[x0];FALSE
x3;x4;[x1, x2];FALSE
x3;x4;[x1];FALSE
x3;x4;[x2];FALSE
